Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0002172,Caddo Parish,22017,2020-06-24,hCoV-19/USA/LA-EVTL613/2020,Lincoln Parish,22061,2020-07-01,7
NODE_0002320,Caddo Parish,22017,2020-05-23,NODE_0002328,Caddo Parish,22017,2020-05-25,2
NODE_0002328,Caddo Parish,22017,2020-05-25,NODE_0002275,Caddo Parish,22017,2020-06-22,28
NODE_0002275,Caddo Parish,22017,2020-06-22,NODE_0002330,Caddo Parish,22017,2020-07-09,17
NODE_0002275,Caddo Parish,22017,2020-06-22,NODE_0002277,Caddo Parish,22017,2020-07-08,16
NODE_0002277,Caddo Parish,22017,2020-07-08,hCoV-19/USA/LA-EVTL746/2020,Bossier Parish,22015,2020-07-19,11
NODE_0002277,Caddo Parish,22017,2020-07-08,NODE_0002815,Caddo Parish,22017,2020-07-11,3
NODE_0002815,Caddo Parish,22017,2020-07-11,NODE_0002838,Caddo Parish,22017,2020-07-14,3
NODE_0002838,Caddo Parish,22017,2020-07-14,NODE_0002334,Caddo Parish,22017,2020-07-18,4
NODE_0002334,Caddo Parish,22017,2020-07-18,NODE_0002335,Bossier Parish,22015,2020-07-21,3
NODE_0002335,Bossier Parish,22015,2020-07-21,NODE_0002336,Bossier Parish,22015,2020-07-26,5
NODE_0002336,Bossier Parish,22015,2020-07-26,hCoV-19/USA/LA-EVTL820/2020,Bossier Parish,22015,2020-07-26,0
NODE_0002336,Bossier Parish,22015,2020-07-26,hCoV-19/USA/LA-EVTL816/2020,Bossier Parish,22015,2020-07-26,0
NODE_0002335,Bossier Parish,22015,2020-07-21,NODE_0002337,Bossier Parish,22015,2020-07-25,4
NODE_0002337,Bossier Parish,22015,2020-07-25,hCoV-19/USA/LA-EVTL1014/2020,Bossier Parish,22015,2020-08-24,30
NODE_0002337,Bossier Parish,22015,2020-07-25,NODE_0002338,Bossier Parish,22015,2020-07-27,2
NODE_0002338,Bossier Parish,22015,2020-07-27,hCoV-19/USA/LA-EVTL824/2020,Caddo Parish,22017,2020-07-27,0
NODE_0002338,Bossier Parish,22015,2020-07-27,hCoV-19/USA/LA-EVTL519/2020,Bossier Parish,22015,2020-08-02,6
NODE_0002815,Caddo Parish,22017,2020-07-11,NODE_0002287,Caddo Parish,22017,2020-08-09,29
NODE_0002287,Caddo Parish,22017,2020-08-09,NODE_0002300,Caddo Parish,22017,2020-09-03,25
NODE_0002300,Caddo Parish,22017,2020-09-03,hCoV-19/USA/LA-EVTL2171/2020,Caddo Parish,22017,2020-09-11,8
NODE_0002300,Caddo Parish,22017,2020-09-03,NODE_0002301,Caddo Parish,22017,2020-09-11,8
NODE_0002301,Caddo Parish,22017,2020-09-11,hCoV-19/USA/LA-EVTL2226/2020,Caddo Parish,22017,2020-09-16,5
NODE_0002301,Caddo Parish,22017,2020-09-11,hCoV-19/USA/LA-EVTL2170/2020,Caddo Parish,22017,2020-09-11,0
NODE_0002301,Caddo Parish,22017,2020-09-11,hCoV-19/USA/LA-EVTL2239/2020,Caddo Parish,22017,2020-09-18,7
NODE_0002287,Caddo Parish,22017,2020-08-09,NODE_0002866,Caddo Parish,22017,2020-08-16,7
NODE_0002866,Caddo Parish,22017,2020-08-16,NODE_0002867,Caddo Parish,22017,2020-08-21,5
NODE_0002867,Caddo Parish,22017,2020-08-21,NODE_0002342,Caddo Parish,22017,2020-08-21,0
NODE_0002342,Caddo Parish,22017,2020-08-21,NODE_0002288,Caddo Parish,22017,2020-09-07,17
NODE_0002288,Caddo Parish,22017,2020-09-07,NODE_0002345,Caddo Parish,22017,2020-09-13,6
NODE_0002345,Caddo Parish,22017,2020-09-13,hCoV-19/USA/LA-EVTL2212/2020,Caddo Parish,22017,2020-09-14,1
NODE_0002345,Caddo Parish,22017,2020-09-13,NODE_0002346,Caddo Parish,22017,2020-09-18,5
NODE_0002346,Caddo Parish,22017,2020-09-18,hCoV-19/USA/LA-EVTL2238/2020,Caddo Parish,22017,2020-09-18,0
NODE_0002346,Caddo Parish,22017,2020-09-18,hCoV-19/USA/LA-EVTL2235/2020,Caddo Parish,22017,2020-09-18,0
NODE_0002342,Caddo Parish,22017,2020-08-21,NODE_0002348,Caddo Parish,22017,2020-08-24,3
NODE_0002348,Caddo Parish,22017,2020-08-24,NODE_0002349,Caddo Parish,22017,2020-09-04,11
NODE_0002349,Caddo Parish,22017,2020-09-04,hCoV-19/USA/LA-EVTL2131/2020,Caddo Parish,22017,2020-09-04,0
